spCode,spName,gHabit,Categorization2,Categorization,Nat_Non,covertype,csprouting
ASTGAM,Astragalus gambelianus,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
ATHPUS,Athysanus pusillus,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
ATRSEM,Atriplex semibaccata,Forb,NN_Forb,FORB_Perennial,NONNATIVE,plant,non
AVEBAR,Avena_barbata,Grass,NN_Grass,GRASS_Annual,NONNATIVE,plant,non
AVEFAT,Avena_fatua,Grass,NN_Grass,GRASS_Annual,NONNATIVE,plant,non
AVESPP,Avena_species,Grass,NN_Grass,GRASS_Annual,NONNATIVE,plant,non
AVESPP(D),dead_Avena,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NONNATIVE,plant,non
B,Bareground,Cover,BAREGROUND,BAREGROUND,cover,Gcover,non
BACPIL,Baccharis_pilularis,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
BACSAL,Baccharis_salicifolia,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
BACSPP(D),dead_Baccharis,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
BLOCRO,Bloomeria_crocea,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
BOTBAR,Bothriochloa barbinodis,Grass,NativeGrass,GRASS_Perennial,NATIVE,plant,non
BOWINC,Bowlesia_incana,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
BRADIS,Brachypodium_distachyon,Grass,NN_Grass,GRASS_Annual,NONNATIVE,plant,non
BRANIG,Brassica_nigra,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
BRASPP(D),dead_Brassica,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NONNATIVE,plant,non
BRATOU,Brassica_tournefortii,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
BROCAR,Bromus_carinatus,Grass,NativeGrass,GRASS_Perennial,NATIVE,plant,non
BROCAT,Bromus_catharticus,Grass,NN_Grass,GRASS_Annual,NONNATIVE,plant,non
BRODIA,Bromus_diandrus,Grass,NN_Grass,GRASS_Annual,NONNATIVE,plant,non
BROHOR,Bromus_hordeaceus,Grass,NN_Grass,GRASS_Annual,NONNATIVE,plant,non
BROMAD,Bromus_madritensis,Grass,NN_Grass,GRASS_Annual,NONNATIVE,plant,non
BROSPP,Bromus_species,Grass,NN_Grass,GRASS_Annual,NONNATIVE,plant,non
BROSPP(D),Dead_Bromus,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
BROTEC,Bromus tectorum,Grass,NN_Grass,GRASS_Annual,NONNATIVE,plant,non
C,Crypto-biotic_Crust,Cover,CRUST,CRYPTOBIOTIC CRUST,cover,Gcover,non
CALBRE,Calandrinia breweri,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
CALCAT,Calochortus_catalinae,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
CALMAC,Calystegia_macrostegia,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
CALCIL,Calandrinia_menziesii,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
CALSPL,Calochortus_splendens,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
CALSPP,Calochortus_species,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
CALWED,Calochortus weedii var. weedii,Forb,NativeForb,FORB_Perennial,NATIVE,plant,non
CAMBIS,Camissoniopsis_bistorta,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
CAMHIR,Camissonia_hirtella,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
CAMMIC,Camissoniopsis_micrantha,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
CAMSPP,Camissoniopsis_species,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
CAPBUR,Capsella bursa-pastoris,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
CARPYC,Carduus_pycnocephalus,Forb,NN_Forb,FORB_Annual,NONNATIVE,plant,non
CARSPP,Carex_species,Grass,NativeGrass,Rumex crispus,NATIVE,plant,non
CARTRI,Carex triquetra,Grass,NativeGrass,GRASS_Perennial,NATIVE,plant,non
CASEXS,Castilleja_exserta,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
CAUHET,CAULANTHUS HETEROPHYLLUS,Forb,NativeForb,FORB_Annual,NATIVE,plant,non
CAUSPP,Caulanthus species,Forb,NativeForb,,NATIVE,plant,non
CEACRA,Ceanothus_crassifolius,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
CEAGRE,Ceanothus_greggii,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
CEAMEG,Ceanothus_megacarpus,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
CEAOLI,Ceanothus_oliganthus,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
CEASPP,Ceanothus_species,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
CEASPP(D),dead_Ceanothus,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
CEATOM,Ceanothus_tomentosus,Shrub,NativeShrub,SHRUB_Perennial,NATIVE,plant,non
CEATOM(D),dead_Ceanothus_tomentosus,Dead,Standing_Dead,STANDING DEAD ORGANIC MATTER,NATIVE,plant,non
